method,mode,scene,seed,tasks,no_truth_count,norm_sq_sum,sq_sum,norm_abs_sum,abs_sum,dimension,nrmse,rmse,nmae,mae,no_truth_rate
PRTD,compact,Climate,20260823,80,0,0.2318152673210338,9021.703498100873,7.408599721812418,1286.6176201246346,400,0.024073598989402988,4.74913242026922,0.018521499304531047,3.2165440503115867,0.0
PRTD,compact,Climate,20260824,80,0,0.2664086333695173,10470.819999218049,7.698492882598359,1341.2618456347732,400,0.025807393968081963,5.1163512387291314,0.019246232206495895,3.353154614086933,0.0
PRTD,compact,Climate,20260825,80,0,0.3410951648632485,13403.646444552565,8.519492363556825,1487.7066961180828,400,0.029201676529920697,5.788705909906066,0.021298730908892064,3.719266740295207,0.0
PRTD,compact,Climate,20260826,80,0,0.34018578979464886,13324.904133459482,8.614527573007754,1498.8325418000077,400,0.029162724058061213,5.771677428066186,0.021536318932519383,3.7470813545000192,0.0
PRTD,compact,Climate,20260827,80,0,0.3026082852050358,11829.128876715919,8.425280578896725,1465.6764888900775,400,0.02750492161436912,5.438089939656184,0.021063201447241813,3.6641912222251936,0.0
PRTD,compact,Climate,20260828,80,0,1.2317194527346735,47860.63246352626,10.731279262218791,1864.6500840694364,400,0.05549142845374125,10.938536518146092,0.02682819815554698,4.661625210173591,0.0
PRTD,compact,Climate,20260829,80,0,2.3360569110590217,90443.53715362451,12.141172964156773,2097.3410060106903,400,0.07642082358655626,15.036916003092564,0.03035293241039193,5.243352515026726,0.0
PRTD,compact,Climate,20260830,80,0,1.3135705079479119,51099.158435230485,10.382810880189645,1804.362483508003,400,0.057305551824145096,11.302561483490202,0.025957027200474114,4.510906208770007,0.0
PRTD,compact,Climate,20260831,80,0,2.0854493424881966,80746.29415909426,11.464430322282269,1986.4125133240902,400,0.07220542470078332,14.207946206181091,0.02866107580570567,4.966031283310226,0.0
PRTD,compact,Climate,20260832,80,0,0.29798980950779597,11860.52666369146,8.339829344227976,1458.8502345939112,400,0.027294221435488684,5.445302256002751,0.020849573360569938,3.647125586484778,0.0
PRTD,compact,Climate,20260833,80,0,1.384110258466604,53359.045761994064,10.564906041258766,1828.703961151311,400,0.05882410769545519,11.549788500443857,0.026412265103146915,4.571759902878277,0.0
PRTD,compact,Climate,20260834,80,0,0.2772172274620028,10864.969545766166,8.05055026915996,1403.069352278107,400,0.026325711170925793,5.21175823157746,0.020126375672899897,3.507673380695268,0.0
PRTD,compact,Climate,20260835,80,0,0.2873550998886876,11204.112699398042,7.957716468164951,1373.7239444727943,400,0.026802756382911797,5.2924740668703425,0.019894291170412377,3.4343098611819856,0.0
PRTD,compact,Climate,20260836,80,0,0.3273951771414049,12670.302931715876,8.485604507351244,1463.2471050865274,400,0.028609228281334543,5.628122007320887,0.02121401126837811,3.6581177627163184,0.0
PRTD,compact,Climate,20260837,80,0,0.2283931074837148,8989.79266751462,7.302124505688783,1273.9776368471062,400,0.023895245734440292,4.740725858851843,0.01825531126422196,3.1849440921177656,0.0
PRTD,compact,Traffic,20260808,80,0,0.31279944607841353,16406378.196812578,10.521270899935308,52645.85720976117,480,0.02552774006181044,184.87821552766263,0.021919314374865224,109.67886918700243,0.0
PRTD,compact,Traffic,20260809,80,0,1.6629696819884847,87140844.63216859,14.37458576415821,71886.72560308091,480,0.05886017474327904,426.0791315202118,0.029947053675329606,149.76401167308524,0.0
PRTD,compact,Traffic,20260810,80,0,4.165185808698966,217224695.23782653,18.003396550373886,89992.42474647188,480,0.09315294109575667,672.7194425703323,0.037507076146612264,187.4842182218164,0.0
